id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
62073940,2020-10-08,"Skyway Dr, Missoula, MT, US",46.8194685455,-114.1044258275,Garden Carrion Beetle,Heterosilpha ramosa
62100742,2020-06-11,"Sandpiper Dr, Missoula, MT, US",46.92979667,-114.0849305,Western Sculptured Pine Borer,Chalcophora angulicollis
62100784,2020-06-12,"Flathead National Forest, Bigfork, MT, US",47.890525,-113.839425,American Silver-bordered Fritillary,Boloria myrina
62235246,2020-09-15,"Flathead National Forest, Essex, MT, US",47.9961667241,-113.5629997368,Large Gray Dagger,Acronicta insita
62266814,2020-10-09,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.834305,-114.101839,Isabella Tiger Moth,Pyrrharctia isabella
62319182,2020-10-10,"Frenchtown, MT, US",47.01492778,-114.28191333,Fall Webworm Moth,Hyphantria cunea
62321321,2020-08-29,"Denver St, Whitefish, MT, US",48.4214083333,-114.340805,Spotted Tussock Moth,Lophocampa maculata
62334371,2020-09-29,"Ravalli County, MT, USA",46.3958981101,-114.2915406698,Pine White,Neophasia menapia
62364878,2020-09-27,"E Pine St, Missoula, MT, US",46.872095,-113.9888,Carabe des bois,Carabus nemoralis
62384062,2020-10-12,"The University of Montana, Missoula, MT, US",46.85787,-113.98645,Asian Lady Beetle,Harmonia axyridis
62405543,2020-07-31,"Flathead County, MT, USA",48.424152,-114.15315,Douglas-fir tussock moth,Orgyia pseudotsugata
62408082,2020-08-05,"Montana, USA",47.2726793,-113.4516102,Lorquin's Admiral,Limenitis lorquini
62412794,2020-10-12,"Missoula County, US-MT, US",46.80815,-113.9159,Aerial Yellowjackets,Dolichovespula maculata
62518779,2020-10-12,"Caras Park, Missoula, MT, US",46.87095333,-113.99877167,Asian Lady Beetle,Harmonia axyridis
62525975,2017-09-11,"Upper Rattlesnake, Missoula, MT 59802, USA",46.8981762459,-113.9696621513,Western Conifer Seed Bug,Leptoglossus occidentalis
62525977,2017-09-13,"Upper Rattlesnake, Missoula, MT 59802, USA",46.8981762459,-113.9696621513,Purple Tiger Beetle,Cicindela purpurea
62576092,2020-10-08,"Montana Hwy 40 W, Columbia Falls, MT, US",48.37162833,-114.24485,Spotted Tussock Moth,Lophocampa maculata
62649042,2020-10-15,"Kalispell, MT 59901, USA",48.21457589,-114.32674997,Asian Lady Beetle,Harmonia axyridis
62656832,2020-07-23,"Beaver Creek, Granite County, MT, USA",46.2201994149,-113.5822198642,Little Virgin Tiger Moth,Apantesis virguncula
62740165,2020-10-16,"Southgate Triangle, Missoula, MT, USA",46.8399687148,-114.0317049623,Western Conifer Seed Bug,Leptoglossus occidentalis
62754836,2020-07-28,"Missoula County, MT, USA",46.67723,-113.993,Faint-spotted Quaker,Apamea scoparia
62755000,2020-07-28,"Missoula County, MT, USA",46.67723,-113.993,Abagrotis scopeops,Abagrotis scopeops
62757419,2020-07-15,"Missoula County, US-MT, US",46.67723,-113.993,Apamea antennata,Apamea antennata
